Unnamed: 0.1,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
1881,1881,8182074427.jpg#3r1n,entailment,A female basketball player dribbling down court.,A female basketball player is going on the court.,A female basketball player dribbling down court means of her going on the court., A female basketball player *dribbling* *down* court., A female basketball player is *going* on *the* *court.*,Dribbling down court is a form of going on the court., A female basketball player *dribbling* *down* *court.*, A female basketball player is *going* *on* *the* *court.*,A female basketball player dribbling down court means she is going on the court., A *female* *basketball* *player* *dribbling* *down* *court.*, A female basketball *player* is *going* *on* the *court.*,"['dribbling', 'down']","['going', 'the', 'court.']","['dribbling', 'down', 'court.']","['going', 'on', 'the', 'court.']","['female', 'basketball', 'player', 'dribbling', 'down', 'court.']","['player', 'going', 'on', 'court.']",classification,2
1885,1885,7760172752.jpg#3r1e,entailment,A middle-aged man works under the engine of a train on rail tracks.,A guy is working on a train.,The guy is middle-aged., A *middle-aged* man works under the *engine* of a train on rail tracks., A guy is working on a train.,"Middle-aged man is a type of guy, and works under is a paraphrase of working.", A *middle-aged* *man* *works* *under* the engine of a train on rail tracks., A *guy* is *working* on a train.,A middle-aged man and guy suggest the same type of individual by age and gender., A *middle-aged* *man* works under the engine of a *train* on rail tracks., A *guy* is working on a *train.*,"['middle-aged', 'engine']",[],"['middle-aged', 'man', 'works', 'under']","['guy', 'working']","['middle-aged', 'man', 'train']","['guy', 'train.']",classification,"2,3"
1890,1890,7760172752.jpg#0r1c,entailment,A man in a dark shirt and overalls is squatting down on gravel and working on a railroad car.,Several men wearing overalls are working on a railroad car while knelling on gravel,Knelling is another form of squatting., A man in a dark shirt and overalls is *squatting* down on gravel and working on a railroad car., Several men wearing overalls are working on a railroad car while *knelling* on gravel,Squatting down on gravel can be be interpreted as kneeling on grave., A man in a dark shirt and overalls is *squatting* *down* *on* *gravel* and working on a railroad car., Several men wearing overalls are working on a railroad car while *knelling* *on* *gravel*,squatting down on gravel is inferred as knelling on gravel., A man in a dark shirt and overalls is *squatting* *down* *on* *gravel* and working on a railroad car., Several men wearing overalls are working on a railroad car while *knelling* *on* *gravel*,['squatting'],['knelling'],"['squatting', 'down', 'on', 'gravel']","['knelling', 'on', 'gravel']","['squatting', 'down', 'on', 'gravel']","['knelling', 'on', 'gravel']",classification,1
1891,1891,6917567087.jpg#0r1e,entailment,A man standing at the front of the room is pointing up while several people who are seated look towards him.,A man standing in a room is pointing up.,Man standing at the front is a type of man., A *man* *standing* *at* *the* *front* of the room is pointing up while several people who are seated look towards him., A *man* standing in a room is pointing up.,There is both a man standing pointing up., A *man* *standing* at the front of the room is *pointing* *up* while several people who are seated look towards him., A *man* *standing* in a room is *pointing* *up.*,Standing at the front of the room is a paraphrase of standing in a room., A man *standing* *at* *the* *front* *of* *the* *room* is pointing up while several people who are seated look towards him., A man *standing* *in* *a* *room* is pointing up.,"['man', 'standing', 'at', 'the', 'front']",['man'],"['man', 'standing', 'pointing', 'up']","['man', 'standing', 'pointing', 'up.']","['standing', 'at', 'the', 'front', 'of', 'the', 'room']","['standing', 'in', 'a', 'room']",classification,1
1897,1897,731236273.jpg#3r1e,entailment,A group of children walking on a trail.,Children are walking.,A common place to walk is a trail., A group of children walking on *a* *trail.*, Children are *walking.*,To be walking on a trail shows that the children are walking., A group of children *walking* *on* *a* *trail.*, Children *are* *walking.*,"Group of children are children, and walking on a trail is a form of walking.", A *group* *of* *children* *walking* *on* *a* *trail.*, *Children* are *walking.*,"['a', 'trail.']",['walking.'],"['walking', 'on', 'a', 'trail.']","['are', 'walking.']","['group', 'of', 'children', 'walking', 'on', 'a', 'trail.']","['Children', 'walking.']",classification,3
1903,1903,2835793460.jpg#0r1e,entailment,"A young women, in a black shirt, is holding a bike, while a young boy is holding a skateboard.",A young woman is holding a bike while a young man is holding a skateboard.,A young woman is holding a bike while a young man is holding a skateboard is common in both sentences," A *young* *women,* in a black shirt, is *holding* a *bike,* while a *young* *boy* is *holding* a *skateboard.*", A *young* *woman* is *holding* a *bike* while a *young* *man* is *holding* a skateboard.,A young man is a young boy.," A young women, in a black shirt, is holding a bike, while a *young* *boy* is holding a skateboard.", A young woman is holding a bike while a *young* *man* is holding a skateboard.,"Young boy is a young man, and young women, in a black shirt is a type of young woman."," A *young* *women,* *in* *a* *black* *shirt,* is holding a bike, while a *young* *boy* is holding a skateboard.", A *young* *woman* is holding a bike while a *young* *man* is holding a skateboard.,"['young', 'women', 'holding', 'bike', 'young', 'boy', 'holding', 'skateboard.']","['young', 'woman', 'holding', 'bike', 'young', 'man', 'holding']","['young', 'boy']","['young', 'man']","['young', 'women', 'in', 'a', 'black', 'shirt', 'young', 'boy']","['young', 'woman', 'young', 'man']",classification,3
1958,1958,3030954073.jpg#0r1n,entailment,"A festival displays two men dressed in red makeup and costume, while an older man has cream on his face.",Two men are dressed in makeup,To be dressed in make-up would include wearing red make-up.," A festival displays two men *dressed* *in* *red* *makeup* and costume, while an older man has cream on his face.", Two men are *dressed* *in* *makeup*,To be dressed in red makeup and costume shows the men are dressed in makeup.," A festival displays two men *dressed* *in* *red* *makeup* *and* *costume,* while an older man has cream on his face.", Two men are *dressed* *in* *makeup*,In red makeup is a type of makeup.," A festival displays two men dressed *in* *red* *makeup* and costume, while an older man has cream on his face.", Two men are dressed in *makeup*,"['dressed', 'in', 'red', 'makeup']","['dressed', 'in', 'makeup']","['dressed', 'in', 'red', 'makeup', 'and', 'costume']","['dressed', 'in', 'makeup']","['in', 'red', 'makeup']",['makeup'],classification,3
1986,1986,5728602543.jpg#4r1e,entailment,Two young girls looking at Barbie dolls.,Two girls are watching dolls.,Two young girls are looking at their dolls., Two young girls *looking* *at* *Barbie* *dolls.*, Two girls are *watching* *dolls.*,BARBIE DOLLS ARE ADMIRED BY THE GIRLS, Two young girls looking at *Barbie* *dolls.*, Two *girls* are watching dolls.,Watching is a form of looking., Two young girls *looking* at Barbie dolls., Two girls are *watching* dolls.,"['looking', 'at', 'Barbie', 'dolls.']","['watching', 'dolls.']","['Barbie', 'dolls.']",['girls'],['looking'],['watching'],classification,3
1990,1990,2483495637.jpg#0r1n,entailment,A dark-haired girl in a spotted shirt is pointing at a picture while sitting next to a boy in a purple shirt and jeans.,A girl is pointing at the picture.,A dark-haired girl is a type of girl., *A* *dark-haired* *girl* in a spotted shirt is pointing at a picture while sitting next to a boy in a purple shirt and jeans., A *girl* is pointing at the picture.,A GIRL IS POINTING HERSELF IN THE PICTURE, A dark-haired girl in a spotted shirt is pointing at a *picture* while sitting next to a boy in a purple shirt and jeans., A *girl* is *pointing* at the picture.,"""A dark-haired girl in a spotted shirt"" is a more detailed restatement of the girl.", A *dark-haired* *girl* in a *spotted* *shirt* is pointing at a picture while sitting next to a boy in a purple shirt and jeans., A *girl* is pointing at the picture.,"['A', 'dark-haired', 'girl']",['girl'],['picture'],"['girl', 'pointing']","['dark-haired', 'girl', 'spotted', 'shirt']",['girl'],classification,1
2004,2004,3612484827.jpg#1r1e,entailment,The guys in white shirts horse around near a park.,Guys wearing white shirts play around by the park.,"To horse around is a form of play, and by is a synonym of near.", The guys in white shirts *horse* *around* *near* a park., Guys wearing white shirts *play* around *by* the park.,To horse around and to play are the same thing., The guys in white shirts *horse* around near a park., Guys wearing white shirts *play* around by the park.,"Play around is another way of saying that the guys in white shirts do horse around, and both are near the park or by the park.", The guys in white shirts *horse* *around* near a park., Guys wearing white shirts *play* *around* by the park.,"['horse', 'around', 'near']","['play', 'by']",['horse'],['play'],"['horse', 'around']","['play', 'around']",classification,1
2028,2028,4220683018.jpg#1r1e,entailment,A woman is sitting in a man's lap in a brown armchair.,The woman and man are resting together in an armchair.,woman sitting in a man's lap implies resting together in a armchair., A *woman* is *sitting* in a *man's* *lap* in a brown armchair., The woman and man are *resting* *together* in an armchair.,woman is sitting in a man's lap is inferred as woman and man are resting together., A *woman* *is* *sitting* *in* *a* *man's* *lap* in a brown armchair., The *woman* *and* *man* *are* *resting* *together* in an armchair.,If a woman is sitting in a man's lap in an armchair then the woman and man are resting together in an armchair because sitting is a form of resting., A *woman* is *sitting* *in* *a* *man's* *lap* *in* a brown *armchair.*, The *woman* *and* *man* are *resting* together *in* an *armchair.*,"['woman', 'sitting', ""man's"", 'lap']","['resting', 'together']","['woman', 'is', 'sitting', 'in', 'a', ""man's"", 'lap']","['woman', 'and', 'man', 'are', 'resting', 'together']","['woman', 'sitting', 'in', 'a', ""man's"", 'lap', 'in', 'armchair.']","['woman', 'and', 'man', 'resting', 'in', 'armchair.']",classification,3
2033,2033,4938897545.jpg#4r1e,entailment,A motorcycle rider is making a sharp turn.,The motorcyclist is turning.,A motorcyclist is a type of rider.  A sharp turn is a form of turning., A motorcycle *rider* is *making* a *sharp* *turn.*, The *motorcyclist* is *turning.*,"A motorcycle ride is a motorcyclist, and they are turning.", A *motorcycle* *rider* is *making* *a* sharp *turn.*, The *motorcyclist* is *turning.*,"A motorcycle rider is called a motorcyclist, and a sharp turn is a way of turning.", A *motorcycle* *rider* is making a *sharp* *turn.*, The *motorcyclist* is *turning.*,"['rider', 'making', 'sharp', 'turn.']","['motorcyclist', 'turning.']","['motorcycle', 'rider', 'making', 'a', 'turn.']","['motorcyclist', 'turning.']","['motorcycle', 'rider', 'sharp', 'turn.']","['motorcyclist', 'turning.']",classification,1
2054,2054,6319053071.jpg#3r1e,entailment,A person is surfing on a large wave.,A person is surfing.,There are both a person surfing in the scene., A *person* is *surfing* on a large wave., A *person* is *surfing.*,Surfing on a large wave is a type of surfing., A person is *surfing* *on* *a* *large* *wave.*, A person is *surfing.*,"A person surfing on a large wave, is surfing.", *A* person is *surfing* *on* a *large* *wave.*, A person *is* *surfing.*,"['person', 'surfing']","['person', 'surfing.']","['surfing', 'on', 'a', 'large', 'wave.']",['surfing.'],"['A', 'surfing', 'on', 'large', 'wave.']","['is', 'surfing.']",classification,2
2057,2057,463970752.jpg#1r1e,entailment,Ample dark-skinned man looks back at camera from behind buffet.,A man looks from behind a buffet.,"""Man looks from behind"" is a rephrasing of ""man looks back at camera from behind.""", Ample dark-skinned *man* *looks* *back* *at* *camera* *from* *behind* buffet., A *man* *looks* *from* *behind* a buffet.,"Ample dark-skinned man is a type of man, and looks back is a paraphrase of looks from behind.", *Ample* *dark-skinned* *man* *looks* *back* at camera from behind buffet., A *man* *looks* *from* *behind* a buffet.,There is a man standing behind a buffet, Ample dark-skinned *man* looks back at camera from *behind* *buffet.*, A *man* looks from *behind* a *buffet.*,"['man', 'looks', 'back', 'at', 'camera', 'from', 'behind']","['man', 'looks', 'from', 'behind']","['Ample', 'dark-skinned', 'man', 'looks', 'back']","['man', 'looks', 'from', 'behind']","['man', 'behind', 'buffet.']","['man', 'behind', 'buffet.']",classification,2
2067,2067,3937269663.jpg#3r1e,entailment,A man in a yellow excavator on a construction site.,the guy is on the excavator,"Man is guy, and yellow excavator is a type of excavator.", A *man* in a *yellow* *excavator* on a construction site., the *guy* is on the *excavator*,A man is a guy and can be on an excavator on a construction site., A *man* in a yellow *excavator* on a construction site., the *guy* is on the *excavator*,A man is on a excavator and a excavator is used on construction sites., A man in a yellow *excavator* on a *construction* *site.*, the guy is on the *excavator*,"['man', 'yellow', 'excavator']","['guy', 'excavator']","['man', 'excavator']","['guy', 'excavator']","['excavator', 'construction', 'site.']",['excavator'],classification,1
2088,2088,3548358879.jpg#4r1e,entailment,An Asian teen is playing a game.,The teen is Asian,Asian teen is a type of teen., An *Asian* *teen* is playing a game., The *teen* is Asian,AN ASIAN  IS PLAYING A GAME, An Asian teen is *playing* a *game.*, The teen is *Asian*,Asian teen means teen is asian, An *Asian* *teen* is playing a game., The *teen* *is* *Asian*,"['Asian', 'teen']",['teen'],"['playing', 'game.']",['Asian'],"['Asian', 'teen']","['teen', 'is', 'Asian']",classification,1
2213,2213,3353328134.jpg#3r1e,entailment,The skier is doing a flip through some trees,A skier is doing tricks.,A flip happens while doing tricks., The skier is doing *a* *flip* through some trees, A skier is doing *tricks.*,A flip through some trees is one way a skier does tricks., The skier is doing *a* *flip* *through* *some* *trees*, A skier is doing *tricks.*,Doing a flip is a form of doing tricks., The *skier* is *doing* a *flip* through some trees, A *skier* is doing *tricks.*,"['a', 'flip']",['tricks.'],"['a', 'flip', 'through', 'some', 'trees']",['tricks.'],"['skier', 'doing', 'flip']","['skier', 'tricks.']",classification,3
2255,2255,3432730942.jpg#0r1e,entailment,Two people look at two red motorcycles in a place where there are religious murals on the wall.,The two people are looking at motorcycles.,Red motorcycles are a type of motorcycles., Two people look at two *red* *motorcycles* in a place where there are religious murals on the wall., The two people are looking at *motorcycles.*,"inference is, looking at motorcycles is the action done by two people.", *Two* *people* *look* *at* two red *motorcycles* in a place where there are religious murals on the wall., The *two* *people* *are* *looking* *at* *motorcycles.*,Two people are looking at motorcycles regardless of what is on the wall., *Two* *people* *look* *at* two red *motorcycles* in a place where there are religious murals on the wall., The *two* *people* are *looking* at *motorcycles.*,"['red', 'motorcycles']",['motorcycles.'],"['Two', 'people', 'look', 'at', 'motorcycles']","['two', 'people', 'are', 'looking', 'at', 'motorcycles.']","['Two', 'people', 'look', 'at', 'motorcycles']","['two', 'people', 'looking', 'motorcycles.']",classification,1
2272,2272,2058472558.jpg#1r1e,entailment,A girl in a flower dress is running on sand.,The girl is running.,Girl in a flower dress is a type of girl., A *girl* *in* *a* *flower* *dress* is running on sand., The *girl* is running.,The girl is running on sand implies that she is running., A *girl* in a flower dress *is* *running* *on* *sand.*, The *girl* *is* *running.*,"Whether or not it's on sand, the girl is running in both sentences.", A girl in a flower dress is *running* *on* *sand.*, The girl is *running.*,"['girl', 'in', 'a', 'flower', 'dress']",['girl'],"['girl', 'is', 'running', 'on', 'sand.']","['girl', 'is', 'running.']","['running', 'on', 'sand.']",['running.'],classification,1
2274,2274,6141981912.jpg#0r1e,entailment,A soccer player wearing white shorts and an orange and green shirt holds the ball while being guarded by another soccer player in a blue uniform.,A soccer player holds the soccer ball.,If one is a player and being guarded by anotehr soccker player it implies they are playing soccer with a soccer ball., A *soccer* player wearing white shorts and an orange and green shirt holds the *ball* while being *guarded* by *another* *soccer* *player* in a blue uniform., A soccer player holds the *soccer* *ball.*,Holds the ball while being guarded is a form of holds the soccer ball., A soccer player wearing white shorts and an orange and green shirt *holds* *the* *ball* *while* *being* *guarded* by another soccer player in a blue uniform., A soccer player *holds* *the* *soccer* *ball.*,A soccer player holds the ball while being guarded by another player is inferred as A soccer player holds the soccer ball., *A* *soccer* *player* wearing white shorts and an orange and green shirt *holds* *the* *ball* *while* *being* *guarded* *by* *another* soccer player in a blue uniform., A soccer player *holds* *the* *soccer* *ball.*,"['soccer', 'ball', 'guarded', 'another', 'soccer', 'player']","['soccer', 'ball.']","['holds', 'the', 'ball', 'while', 'being', 'guarded']","['holds', 'the', 'soccer', 'ball.']","['A', 'soccer', 'player', 'holds', 'the', 'ball', 'while', 'being', 'guarded', 'by', 'another']","['holds', 'the', 'soccer', 'ball.']",classification,2
2285,2285,3753827435.jpg#1r1e,entailment,A woman in a green shirt and jeans throws a spear toward a target in the background painted with a carrot across a parking lot,A woman throwing a spear towards a target.,Woman in a green shirt is a type of woman., A *woman* *in* *a* *green* *shirt* and jeans throws a spear toward a target in the background painted with a carrot across a parking lot, A *woman* throwing a spear towards a target.,A woman that throws a spear is throwing a spear., A woman in a green shirt and jeans *throws* a spear toward a target in the background painted with a carrot across a parking lot, A woman *throwing* a spear towards a target.,A woman throwing a spear towards a target depicts an image of something that is seems to be occurring in the present moment and throws is a verb indication action in the present; so a woman throwing a spear towards a target is a slightly rephrased reiteration of a woman throws a spear towards a target., A *woman* in a green shirt and jeans *throws* a *spear* *toward* a *target* in the background painted with a carrot across a parking lot, A *woman* *throwing* a *spear* *towards* a *target.*,"['woman', 'in', 'a', 'green', 'shirt']",['woman'],['throws'],['throwing'],"['woman', 'throws', 'spear', 'toward', 'target']","['woman', 'throwing', 'spear', 'towards', 'target.']",classification,1
2305,2305,3376435746.jpg#0r1e,entailment,A person in a yellow slicker is driving a motorboat next to the beach.,A person in a boat.,The person in a yellow slickers driving a motorboat is in a boat, *A* *person* *in* *a* *yellow* *slicker* is driving a *motorboat* next to the beach., *A* *person* *in* *a* *boat.*,A person driving a boat would have to be inside of the boat., A person in a yellow slicker is *driving* *a* *motorboat* next to the beach., A person *in* *a* *boat.*,A motorboat is a kind of boat., A person in a yellow slicker is driving a *motorboat* next to the beach., A person in a *boat.*,"['A', 'person', 'in', 'a', 'yellow', 'slicker', 'motorboat']","['A', 'person', 'in', 'a', 'boat.']","['driving', 'a', 'motorboat']","['in', 'a', 'boat.']",['motorboat'],['boat.'],classification,3
2313,2313,2533414541.jpg#3r1e,entailment,A white and blue car is on the street.,A vehicle is on the street.,A blue and white vehicle is on the street., A *white* *and* *blue* *car* is on the *street.*, A *vehicle* is on the *street.*,A car is a vehicle., A white and blue *car* is on the street., A *vehicle* is on the street.,A white and blue car is a type of vehicle., A *white* *and* *blue* *car* is on the street., A *vehicle* is on the street.,"['white', 'and', 'blue', 'car', 'street.']","['vehicle', 'street.']",['car'],['vehicle'],"['white', 'and', 'blue', 'car']",['vehicle'],classification,3
2326,2326,7096517911.jpg#3r1e,entailment,A man trying to block another man from shooting the ball in.,The man is is near the ball.,A man has to be near the to keep another man from shooting it., A man trying to *block* another man from *shooting* the *ball* in., The man is is *near* *the* ball.,To block another man from shooting the ball is the same as being near the ball., A man trying to *block* *another* *man* *from* *shooting* *the* *ball* in., The man is is *near* *the* *ball.*,"Man trying to block is a type of man, and shooting the ball in implies near the ball.", A *man* *trying* *to* *block* another man from *shooting* *the* *ball* *in.*, The *man* is is *near* *the* *ball.*,"['block', 'shooting', 'ball']","['near', 'the']","['block', 'another', 'man', 'from', 'shooting', 'the', 'ball']","['near', 'the', 'ball.']","['man', 'trying', 'to', 'block', 'shooting', 'the', 'ball', 'in.']","['man', 'near', 'the', 'ball.']",classification,3
2327,2327,278002800.jpg#1r1e,entailment,A man in a black coat eats a doughnut while other men look out of frame.,A man in a black coat eats a doughnut.,A man in a black coat eats a doughnut is a simplified version of the first sentence, *A* *man* *in* *a* *black* *coat* *eats* *a* *doughnut* while other men look out of frame., *A* *man* *in* *a* *black* *coat* *eats* *a* *doughnut.*,Man in a black coat eats a doughnut while other men look is a type of man., A *man* *in* *a* *black* *coat* *eats* *a* *doughnut* *while* *other* *men* look out of frame., A *man* in a black coat eats a doughnut.,"""while other men look out of frame"" is irrelevant to the man eating a doughnut", A man in a black coat eats a doughnut *while* *other* *men* *look* *out* *of* *frame.*, A man in a black coat eats a doughnut.,"['A', 'man', 'in', 'a', 'black', 'coat', 'eats', 'a', 'doughnut']","['A', 'man', 'in', 'a', 'black', 'coat', 'eats', 'a', 'doughnut.']","['man', 'in', 'a', 'black', 'coat', 'eats', 'a', 'doughnut', 'while', 'other', 'men']",['man'],"['while', 'other', 'men', 'look', 'out', 'of', 'frame.']",[],classification,2
2344,2344,7291465794.jpg#0r1e,entailment,A man wearing yellow sneakers and a black vest is on a water board and hangs onto a waterski line that appears to be towed by a boat.,A man is moving on the water.,The man is moving on the water because he is towed by a boat., A man wearing yellow sneakers and a black vest is on a water board and hangs onto a waterski line that appears to be *towed* *by* a *boat.*, A man is *moving* *on* *the* *water.*,A man who holds onto a waterski line towed by a boat will be moving on the water., A man wearing yellow sneakers and a black vest is on a water board and *hangs* *onto* *a* *waterski* *line* that appears to be *towed* *by* *a* *boat.*, A man is *moving* *on* *the* *water.*,"Man wearing yellow sneakers is a type of man, and towed by a boat implies moving on the water.", A *man* *wearing* *yellow* *sneakers* and a black vest is on a water board and hangs onto a waterski line that appears to be *towed* *by* *a* *boat.*, A *man* is *moving* *on* *the* *water.*,"['towed', 'by', 'boat.']","['moving', 'on', 'the', 'water.']","['hangs', 'onto', 'a', 'waterski', 'line', 'towed', 'by', 'a', 'boat.']","['moving', 'on', 'the', 'water.']","['man', 'wearing', 'yellow', 'sneakers', 'towed', 'by', 'a', 'boat.']","['man', 'moving', 'on', 'the', 'water.']",classification,3
2369,2369,4019072184.jpg#3r1e,entailment,A person is climbing a cliff wall that overlooks water.,A person is climbing.,"If a person is climbing a cliff wall, they are doing the action of climbing.", A person is *climbing* a cliff wall that overlooks water., A person is *climbing.*,Climbing a cliff wall is a form of climbing., A person is *climbing* *a* *cliff* *wall* that overlooks water., A person is *climbing.*,A person is climbing is part of the total description of them climbing a cliff wall., A *person* is climbing *a* *cliff* *wall* that overlooks water., A *person* is *climbing.*,['climbing'],['climbing.'],"['climbing', 'a', 'cliff', 'wall']",['climbing.'],"['person', 'a', 'cliff', 'wall']","['person', 'climbing.']",classification,2
2392,2392,448658518.jpg#0r1e,entailment,A large man dressed in black on a street corner by a red brick building.,A man is on the street corner.,Large man dressed in black is a type of man., A *large* *man* *dressed* *in* *black* on a street corner by a red brick building., A *man* is on the street corner.,A large man is a man and a street corner by a red brick building is a street corner., *A* *large* *man* dressed in black on a *street* *corner* by a red brick building., *A* *man* is on the *street* *corner.*,The man could be large in size., A *large* *man* dressed in black on a street corner by a red brick building., A *man* is on the street corner.,"['large', 'man', 'dressed', 'in', 'black']",['man'],"['A', 'large', 'man', 'street', 'corner']","['A', 'man', 'street', 'corner.']","['large', 'man']",['man'],classification,1
2404,2404,3583105294.jpg#3r1e,entailment,An audience cheers at a concert.,An audience making noise at a concert.,Cheers are a way of making noise., An audience *cheers* at a concert., An audience *making* *noise* at a concert.,Cheers is a type of making noise.  An audience is at a concert., An *audience* *cheers* at a concert., An audience *making* *noise* *at* *a* *concert.*,When an audience cheers it is noise., An audience *cheers* at a concert., An audience making noise at a concert.,['cheers'],"['making', 'noise']","['audience', 'cheers']","['making', 'noise', 'at', 'a', 'concert.']",['cheers'],[],classification,2
2411,2411,2474918824.jpg#2r1e,entailment,A guy tries to climb a stone cliff while his friend helps him.,Two people are climbing a cliff.,A guy and his friends are people while a guy tries to climb a stone cliff must be climbing a cliff., A *guy* tries to *climb* *a* *stone* *cliff* while his *friend* helps him., Two people are *climbing* *a* *cliff.*,"If a guy tries to climb a cliff with his friend, then two people are climbing a cliff.", A *guy* tries to *climb* *a* stone *cliff* while *his* *friend* helps him., *Two* *people* are *climbing* a *cliff.*,"Guy and his friend equal two people, and stone cliff is a type of cliff.", A *guy* tries to climb a *stone* *cliff* while *his* *friend* helps him., *Two* *people* are climbing a *cliff.*,"['guy', 'climb', 'a', 'stone', 'cliff', 'friend']","['climbing', 'a', 'cliff.']","['guy', 'climb', 'a', 'cliff', 'his', 'friend']","['Two', 'people', 'climbing', 'cliff.']","['guy', 'stone', 'cliff', 'his', 'friend']","['Two', 'people', 'cliff.']",classification,3
2416,2416,481887827.jpg#3r1e,entailment,A group of people sit before a campfire.,People are around a fire,People who sit at a campfire at around a fire., A group of people *sit* before a *campfire.*, People are *around* a *fire*,"A campfire is a type of fire, and people are around it because they are sitting by it.", A group of *people* *sit* *before* *a* *campfire.*, *People* *are* *around* *a* *fire*,"People infers a group of people, and a campfire is a type of fire.", A *group* *of* *people* sit before a *campfire.*, *People* are *around* *a* *fire*,"['sit', 'campfire.']","['around', 'fire']","['people', 'sit', 'before', 'a', 'campfire.']","['People', 'are', 'around', 'a', 'fire']","['group', 'of', 'people', 'campfire.']","['People', 'around', 'a', 'fire']",classification,"2,3"
2480,2480,3064443326.jpg#2r1e,entailment,Riot police are standing in the background while a young man with a red scarf covering his face is walking.,there are police,Riot police is part of the police, *Riot* *police* are standing in the background while a young man with a red scarf covering his face is walking., there are *police*,"""There are police"" conveys the same message as ""police are standing.""", Riot *police* *are* *standing* in the background while a young man with a red scarf covering his face is walking., there *are* *police*,Riot police are a type of police., *Riot* *police* are standing in the background while a young man with a red scarf covering his face is walking., there are *police*,"['Riot', 'police']",['police'],"['police', 'are', 'standing']","['are', 'police']","['Riot', 'police']",['police'],classification,3
2490,2490,2635248278.jpg#2r1e,entailment,A man in blue clothing carries a yellow bucket while walking in the water near a pelican.,A man with a pail is in the water near a bird.,A bucket is a pail and a pelican is a type of bird., A man in blue clothing carries a yellow *bucket* while walking in the water near a *pelican.*, A man with a *pail* is in the water near a *bird.*,A pelican is a bird and a man walking in the water near the bird., A *man* in blue clothing carries a yellow bucket while walking in the water near a *pelican.*, A man with a pail is in the *water* near a *bird.*,"Pail is a synonym for bucket, and pelican is a bird.", A man in blue clothing carries a yellow *bucket* while walking in the water near a *pelican.*, A man with a *pail* is in the water near a *bird.*,"['bucket', 'pelican.']","['pail', 'bird.']","['man', 'pelican.']","['water', 'bird.']","['bucket', 'pelican.']","['pail', 'bird.']",classification,1
2492,2492,23015660.jpg#0r1e,entailment,A young woman tennis player dressed in black carries many tennis balls on her racket.,A young woman tennis player have many tennis balls.,A young woman tennis player carries many tennis balls on her racket is that she have many tennis balls., A young woman tennis player dressed in black *carries* *many* *tennis* *balls* on *her* *racket.*, A young woman tennis player have *many* *tennis* *balls.*,"Tennis player dressed in black is a type of tennis player, and carries implies have.", A young woman *tennis* *player* *dressed* *in* *black* *carries* many tennis balls on her racket., A young woman *tennis* *player* *have* many tennis balls.,A woman in a black dress playing a tennis, A young woman *tennis* player dressed in *black* carries many tennis balls on her racket., A young *woman* tennis player have many tennis balls.,"['carries', 'many', 'tennis', 'balls', 'her', 'racket.']","['many', 'tennis', 'balls.']","['tennis', 'player', 'dressed', 'in', 'black', 'carries']","['tennis', 'player', 'have']","['tennis', 'black']",['woman'],classification,2
2496,2496,2496399593.jpg#3r1e,entailment,Young brunette woman smiling in front of bushes.,The woman is outside.,in front of bushes means outside, Young brunette woman smiling *in* *front* *of* *bushes.*, The woman is *outside.*,"Young brunette woman is a type of woman, and bushes implies outside.", *Young* *brunette* *woman* smiling in front of *bushes.*, The *woman* is *outside.*,The bushes that the woman is standing by are outside., Young brunette woman smiling in front of *bushes.*, The woman is outside.,"['in', 'front', 'of', 'bushes.']",['outside.'],"['Young', 'brunette', 'woman', 'bushes.']","['woman', 'outside.']",['bushes.'],[],classification,2
2511,2511,241347611.jpg#3r1e,entailment,A football coach is walking on a football field.,a football coach walks on the field,A football coach walking on a field would be assumed to be walking on a football field., A football coach is walking on a *football* *field.*, a *football* *coach* walks on the field,There is both a coach walking on the field., A football *coach* is *walking* on a football *field.*, a football *coach* *walks* on the *field*,"Is walking is a paraphrase of walks, and football field is a type of field.", A football coach *is* *walking* on a *football* *field.*, a football coach *walks* on the *field*,"['football', 'field.']","['football', 'coach']","['coach', 'walking', 'field.']","['coach', 'walks', 'field']","['is', 'walking', 'football', 'field.']","['walks', 'field']",classification,3
2522,2522,211402278.jpg#0r1n,entailment,Sheep farmers are crouching and preparing to feed their animals as the sheepdog watches closely by.,Farmers prepare to feed their animals in a large field.,Sheep farmers are type of farmers., *Sheep* *farmers* are crouching and preparing to feed their animals as the sheepdog watches closely by., *Farmers* prepare to feed their animals in a large field.,The farmers are preparing to feed their animals., Sheep *farmers* are crouching and preparing to *feed* *their* *animals* as the sheepdog watches closely by., *Farmers* prepare to *feed* *their* *animals* in a large field.,The farmers are sheep farmers., *Sheep* farmers are crouching and preparing to feed their animals as the sheepdog watches closely by., *Farmers* prepare to feed their animals in a large field.,"['Sheep', 'farmers']",['Farmers'],"['farmers', 'feed', 'their', 'animals']","['Farmers', 'feed', 'their', 'animals']",['Sheep'],['Farmers'],classification,1
