,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type
5584,5584,4360012431.jpg#0r1e,entailment,Two boys wearing colorful winter hats and dark coats are riding bikes and smiling at each other.,Two boys are riding bikes.,Riding bikes and smiling is a form of riding bikes., Two boys wearing colorful winter hats and dark coats are *riding* *bikes* *and* *smiling* at each other., Two boys are *riding* *bikes.*,The boys are riding bikes as they smile at eachother., Two boys wearing colorful winter hats and dark coats are *riding* *bikes* and smiling at each other., Two *boys* are riding bikes.,Two boys while wearing winter hats and coats are riding a bike, Two boys wearing colorful *winter* *hats* and dark *coats* are riding *bikes* and smiling at each other., Two *boys* are riding bikes.,['riding bikes and smiling'],['riding bikes'],['riding bikes'],['boys'],"['winter hats', 'coats', 'bikes']",['boys'],classification
5618,5618,4752074992.jpg#1r1e,entailment,"A young women carrying some wooden cases, walking down the street and passing a street performer.",A person carrying cases,"Young women is a person, and wooden cases are a type of cases."," A *young* *women* carrying some *wooden* *cases,* walking down the street and passing a street performer.", A *person* carrying *cases*,A young woman can be walking while carrying something," A young women carrying some wooden cases, *walking* down the street and passing a street performer.", A person *carrying* cases,A woman is carrying cases and a woman is a person therefore a person is carrying cases.," A young *women* *carrying* some wooden *cases,* walking down the street and passing a street performer.", A *person* *carrying* *cases*,"['young women', 'wooden cases']","['person', 'cases']",['walking'],['carrying'],"['women carrying', 'cases']",['person carrying cases'],classification
5620,5620,4979030668.jpg#0r1e,entailment,A woman wearing a martial arts uniform holds her sneakered foot with both hands over her head.,A person in a uniform,A woman is a person and a woman is wearing a martial arts uniform., A *woman* wearing a martial arts uniform holds her sneakered foot with both hands over her head., A *person* in a uniform,"Woman is person, and martial arts uniform is a type of uniform.", A *woman* wearing a *martial* *arts* *uniform* holds her sneakered foot with both hands over her head., A *person* in a *uniform*,A woman is a person and a martial arts uniform is a uniform., A *woman* wearing a *martial* *arts* *uniform* holds her sneakered foot with both hands over her head., A *person* in a *uniform*,['woman'],['person'],"['woman', 'martial arts uniform']","['person', 'uniform']","['woman', 'martial arts uniform']","['person', 'uniform']",classification
5623,5623,3476709230.jpg#3r1e,entailment,A group of kids are playing on a tire swing.,Some kids are playing on a swing.,"Group of kids are some kids, and tire swing is a type of swing.", A *group* *of* *kids* are playing on a *tire* *swing.*, *Some* *kids* are playing on a *swing.*,"""Some kids"" is a rephrasing of ""group of kids."" Plus, a tire swing is a type of swing.", A *group* *of* *kids* are playing on a *tire* *swing.*, *Some* *kids* are playing on a *swing.*,The swing the children are playing on is made from a tire., A group of *kids* are *playing* on a tire *swing.*, Some *kids* are playing on a swing.,"['group of kids', 'tire swing']","['Some kids', 'swing']","['group of kids', 'tire swing']","['Some kids', 'swing']","['kids', 'playing', 'swing']",['kids'],classification
5627,5627,246231741.jpg#3r1e,entailment,Two German sheperds snarling at each other.,Two animals are threatening each other.,German shepherds are animals., Two *German* *sheperds* snarling at each other., Two *animals* are threatening each other.,"Two German sheperds are two animals, and snarling is a form of threatening.", *Two* *German* *sheperds* *snarling* at each other., *Two* *animals* are *threatening* each other.,Two German shepherds are two animals and of them snarling at each other means threatening each other., *Two* *German* *sheperds* *snarling* at each other., *Two* *animals* are *threatening* each other.,['German sheperds'],['animals'],['Two German sheperds snarling'],"['Two animals', 'threatening']",['Two German sheperds snarling'],"['Two animals', 'threatening']",classification
5651,5651,3473742715.jpg#2r1c,entailment,What appears to be a taller bald white man sitting next to a shorter black man in a reception area.,The taller bald white man is standing by the short black man.,"Standing by is a rephrasing of sitting next to,", What appears to be a taller bald white man *sitting* *next* *to* a shorter black man in a reception area., The taller bald white man is *standing* *by* the short black man.,Shorter black man is a type of short black man., What appears to be a taller bald white man sitting next to a *shorter* *black* *man* in a reception area., The taller bald white man is standing by the *short* *black* *man.*,a taller bald man appears to be sitting next to a shorter black man but he is really standing by the short black man, What *appears* to be a taller bald white man *sitting* *next* *to* a *shorter* *black* *man* in a reception area., The taller bald white man is *standing* *by* the *short* *black* *man.*,['sitting next to'],['standing by'],['shorter black man'],['short black man'],"['appears', 'sitting next to', 'shorter black man']","['standing by', 'short black man']",classification
5658,5658,5790434381.jpg#1r1e,entailment,Several men in fluorescent pinnies work on a structure shrouded in a green veil while a cherry picker truck hauls material.,the men are working,Work on a structure is an act of working., Several men in fluorescent pinnies *work* *on* *a* *structure* shrouded in a green veil while a cherry picker truck hauls material., the men are *working*,"Several men are men, and work on a structure is a form of working.", *Several* *men* in fluorescent pinnies *work* *on* *a* *structure* shrouded in a green veil while a cherry picker truck hauls material., the *men* are *working*,The men are working is a rephrasing of several men work on a structure., Several men in fluorescent pinnies *work* *on* *a* *structure* shrouded in a green veil while a cherry picker truck hauls material., the men *are* *working*,['work on a structure'],['working'],"['Several men', 'work on a structure']","['men', 'working']",['work on a structure'],['are working'],classification
5659,5659,136644885.jpg#1r1e,entailment,A woman wearing a white shirt and jeans crosses a rope bridge in a wooded area.,A woman wearing a white shirt crosses a bridge in a wooded area.,A rope bridge is a type of bridge, A woman wearing a white shirt and jeans crosses a *rope* *bridge* in a wooded area., A woman wearing a white shirt crosses a *bridge* in a wooded area.,"Woman wearing a white shirt and jeans is a type of woman, and crosses a rope bridge is a paraphrasing of crosses a bridge.", A *woman* *wearing* *a* *white* *shirt* *and* *jeans* *crosses* *a* *rope* *bridge* in a wooded area., A *woman* wearing a white shirt *crosses* *a* *bridge* in a wooded area.,The area is wooded., A woman wearing a white shirt and jeans crosses a rope bridge in a wooded *area.*, A woman wearing a white shirt crosses a bridge in a *wooded* area.,['rope bridge'],['bridge'],['woman wearing a white shirt and jeans crosses a rope bridge'],"['woman', 'crosses a bridge']",['area'],['wooded'],classification
5682,5682,3578477508.jpg#1r1e,entailment,A man is roller-skating down the wall next to some white steps.,A man is rollerskating.,Rollerskating is the same as roller-skating., A man is *roller-skating* down the wall next to some white steps., A man is *rollerskating.*,Roller-skating down the wall is a type of rollerskating., A man is *roller-skating* *down* *the* *wall* next to some white steps., A man is *rollerskating.*,Roller-skating is the same as rollerskating., A man is *roller-skating* down the wall next to some white steps., A man is *rollerskating.*,['rollerskating'],['rollerskating'],['rollerskating down the wall'],['rollerskating'],['rollerskating'],['rollerskating'],classification
5687,5687,436015762.jpg#4r1e,entailment,A man prepares to enter the red building.,The man prepared to enter the building.,"A man who prepares to enter a building, is prepared to enter it.", A man *prepares* to *enter* the red building., The man *prepared* to *enter* the building.,The man prepares himself to enter the building., A man prepares to *enter* the red *building.*, The man prepared to *enter* the *building.*,Red building is a type of building., A man prepares to enter the *red* *building.*, The man prepared to enter the *building.*,"['prepares', 'enter']","['prepared', 'enter']","['enter', 'building']","['enter', 'building']",['red building'],['building'],classification
5689,5689,90168112.jpg#4r1e,entailment,A little girl plays in the ocean on the beach.,The girl plays on the shore.,On the beach is on the shore, A little girl plays in the ocean *on* *the* *beach.*, The girl plays *on* *the* *shore.*,"Shore implies beach, and little girl is a type of girl.", A *little* *girl* plays in the ocean on the *beach.*, The *girl* plays on the *shore.*,The girl plays on the shore of the ocean beach., A little girl plays in the *ocean* on the *beach.*, The girl plays on the *shore.*,['on the beach'],['on the shore'],"['little girl', 'beach']","['girl', 'shore']","['ocean', 'beach']",['shore'],classification
5700,5700,537758332.jpg#4r1e,entailment,Two girls slide down the air-filled slide.,The people are sliding.,both involve sliding on a slide., Two *girls* slide down the air-filled *slide.*, The *people* are *sliding.*,"Girls are people, and they are sliding.", Two *girls* *slide* down the air-filled slide., The *people* *are* *sliding.*,"Girls are sliding, and an air-filled slide is a type of slide.", *Two* *girls* slide down the *air-filled* *slide.*, *The* *people* are *sliding.*,"['girls', 'slide']","['people', 'sliding']",['girls slide'],['people are sliding'],"['Two girls', 'airfilled slide']","['The people', 'sliding']",classification
5702,5702,7090197245.jpg#2r1e,entailment,A boy riding on a carnival ride turns around for a photograph.,A human riding,A boy is a type of human., A *boy* riding on a carnival ride turns around for a photograph., A *human* riding,A boy is a human., A *boy* riding on a carnival ride turns around for a photograph., A *human* riding,"A boy is a human, and he turns left for a photograph as he rides on a carnival ride.", A *boy* riding on a carnival ride turns around for a photograph., A *human* riding,['boy'],['human'],['boy'],['human'],['boy'],['human'],classification
5714,5714,3692593096.jpg#1r1e,entailment,Small red airplane flies over mountaintop dropping red substance over fire.,the airplane is flying.,There are both an airplane in a flying mode., Small red *airplane* *flies* over mountaintop dropping red substance over fire., the *airplane* is *flying.*,"Small red airplane is a type of airplane, and flies is a synonym for flying.", *Small* *red* *airplane* *flies* over mountaintop dropping red substance over fire., the *airplane* is *flying.*,The airplane is small and red., *Small* *red* *airplane* flies over mountaintop dropping red substance over fire., the *airplane* is flying.,['airplane flies'],"['airplane', 'flying']",['Small red airplane flies'],"['airplane', 'flying']",['Small red airplane'],['airplane'],classification
5719,5719,4393321765.jpg#0r1e,entailment,A man in a gray shirt sorts through Hawaiian style shirts in a department store.,The man is shopping at the department store.,A man sorts through shirts in a department store must be shopping at the department store., A man in a gray shirt *sorts* *through* Hawaiian style *shirts* *in* *a* *department* *store.*, The man is *shopping* *at* *the* *department* *store.*,"Man in a gray shirt is a type of man, and sorts through shirts in store implies shopping.", A *man* *in* *a* *gray* *shirt* *sorts* *through* Hawaiian style *shirts* *in* a department *store.*, The *man* is *shopping* at the department store.,"""The man is shopping at the department store"" is a rephrasing of ""A man in a gray shirt sorts through Hawaiian style shirts in a department store"".", A *man* in a *gray* *shirt* sorts through Hawaiian style shirts in a *department* *store.*, The man is shopping at the *department* *store.*,"['sorts through', 'shirts in a department store']",['shopping at the department store'],"['man in a gray shirt sorts through', 'shirts in', 'store']","['man', 'shopping']","['man', 'gray shirt', 'department store']",['department store'],classification
5724,5724,2325025735.jpg#3r1e,entailment,A little girl looking at a large boulder,A girl sees a rock formation.,Seeing is a form of looking.  A large boulder is a type of rock formation., A little girl *looking* at a *large* *boulder*, A girl *sees* a *rock* *formation.*,A large boulder is a rock formation., A little girl looking at a *large* *boulder*, A girl sees a *rock* *formation.*,A girl sees a rock formation in the boulder., A little girl looking at a large *boulder*, A girl sees a *rock* *formation.*,"['looking', 'large boulder']","['sees', 'rock formation']",['large boulder'],['rock formation'],['boulder'],['rock formation'],classification
5725,5725,4940921321.jpg#2r1e,entailment,An overweight man riding a bicycle to work,The man is riding a bicycle.,An overweight man is a man., An *overweight* *man* riding a bicycle to work, The *man* is riding a bicycle.,"The man is ""riding a bicycle"" is same as "" riding a bicycle"" to work.", An overweight man *riding* a *bicycle* to *work*, The man is *riding* a *bicycle.*,An overweight man is a type of man., An *overweight* *man* riding a bicycle to work, The *man* is riding a bicycle.,['overweight man'],['man'],"['riding', 'bicycle', 'work']","['riding', 'bicycle']",['overweight man'],['man'],classification
5729,5729,4963375436.jpg#3r1e,entailment,Girl in purple jacket leaning against a wall.,A girl is wearing purple attire.,Purple jacket shows purple attire., Girl in *purple* *jacket* leaning against a wall., A girl is wearing *purple* *attire.*,A jacket is a type of attire., Girl *in* *purple* *jacket* leaning against a wall., A girl is wearing *purple* *attire.*,In purple jacket means the girl is wearing the jacket.   A jacket is an attire., Girl *in* *purple* *jacket* leaning against a wall., A girl is *wearing* *purple* *attire.*,['purple jacket'],['purple attire'],['in purple jacket'],['purple attire'],['in purple jacket'],['wearing purple attire'],classification
5739,5739,3366424545.jpg#2r1n,entailment,3 people having coffee outside of a museum.,3 people are outside trying to have a drink.,People having coffee outside must be outside trying to have a drink., 3 people *having* *coffee* *outside* of a museum., 3 people are *outside* *trying* *to* *have* *a* *drink.*,"Coffee is a form of a drink, and to be outside of a museum implies being outside.", 3 people having *coffee* *outside* *of* *a* *museum.*, 3 people are *outside* trying to have a *drink.*,People are outside the museum drinking coffee., 3 *people* having *coffee* outside of a *museum.*, 3 people are *outside* trying to have a drink.,['having coffee outside'],['outside trying to have a drink'],['coffee outside of a museum'],"['outside', 'drink']","['people', 'coffee', 'museum']",['outside'],classification
5747,5747,2118681098.jpg#0r1e,entailment,A man wearing a blue sweatshirt and a white hard hat is working on a construction project.,The man is a construction worker.,A construction worker is wearing a hard hat on a project., A man *wearing* a blue sweatshirt and a white *hard* *hat* is working on a construction *project.*, The man is a *construction* *worker.*,If someone is working on a construction project this indicates that they are a construction worker., A man wearing a blue sweatshirt and a white hard hat is *working* *on* *a* *construction* *project.*, The man is a *construction* *worker.*,"Man wearing a blue sweatshirt is a type of man, and working on a construction project implies construction worker.", A *man* *wearing* *a* *blue* *sweatshirt* and a white hard hat is *working* *on* *a* *construction* *project.*, The *man* is a *construction* *worker.*,"['wearing', 'hard hat', 'project']",['construction worker'],['working on a construction project'],['construction worker'],"['man wearing a blue sweatshirt', 'working on a construction project']","['man', 'construction worker']",classification
5763,5763,5960769829.jpg#3r1e,entailment,A person in an orange kayak navigates white water rapids.,A PERSON IS IN A BOAT.,A kayak is a type of boat., A person in an orange *kayak* navigates white water rapids., A PERSON IS IN A *BOAT.*,An orange kayak is a type of boat., A person in an *orange* *kayak* navigates white water rapids., A PERSON IS IN A *BOAT.*,A kayak is a type of boat., A person in an orange *kayak* navigates white water rapids., A PERSON IS IN A *BOAT.*,['kayak'],['BOAT'],['orange kayak'],['BOAT'],['kayak'],['BOAT'],classification
5766,5766,242397237.jpg#4r1n,entailment,Two older males sitting together on a river boat tour.,Two males are riding a boat,A rive boat is a type of boat., Two older males sitting together on a *river* *boat* tour., Two males are riding a *boat*,"The men are on a river boat tour, which implies they are riding a boat.", Two older males sitting together on a *river* *boat* *tour.*, Two males are *riding* *a* *boat*,two males sitting together on a river boat implies that they are riding a boat, *Two* older *males* *sitting* *together* on a *river* *boat* tour., Two *males* are *riding* a *boat*,['river boat'],['boat'],['river boat tour'],['riding a boat'],"['Two', 'males sitting together', 'river boat']","['males', 'riding', 'boat']",classification
5775,5775,2087317114.jpg#2r1e,entailment,A man in a small kayak is floating down the river.,A man is in a boat.,"A kayak is a boat, therefore if a man is in a kayak then he is in a boat.", A *man* in a small *kayak* is floating down the river., A *man* is in a *boat.*,A kayak is a boat., A man in a small *kayak* is floating down the river., A man is in a *boat.*,A small kayak is a form of a boat., A man in a *small* *kayak* is floating down the river., A man is in a *boat.*,"['man', 'kayak']","['man', 'boat']",['kayak'],['boat'],['small kayak'],['boat'],classification
5776,5776,2736656254.jpg#0r1e,entailment,Here is a little girl drinking her soda at what looks like an aquarium while the dolphin swims in the background.,There is a girl with an animal,A little girl in an aquarium while the dolphin swims in the background implies that a girl is with an animal., Here is a little *girl* drinking her soda at what looks like an aquarium while the *dolphin* swims in the background., There is a *girl* *with* *an* *animal*,"Little girl drinking her soda is a type of girl, and dolphin is an animal.", Here is a *little* *girl* *drinking* *her* *soda* at what looks like an aquarium while the *dolphin* swims in the background., There is a *girl* with an *animal*,"The girl is with a dolphin, which is also an animal.", Here is a little *girl* drinking her soda at what looks like an aquarium while the *dolphin* swims in the background., There is a *girl* with an *animal*,"['girl', 'dolphin']",['girl with an animal'],"['little girl drinking her soda', 'dolphin']","['girl', 'animal']","['girl', 'dolphin']","['girl', 'animal']",classification
5784,5784,3538719941.jpg#1r1e,entailment,A woman wearing a large bandanna around her neck is sitting at a table putting poker chips into a plastic bag.,a woman is wearing fashion accessories while sitting at a table.,"a woman wearing a bandanna, bandanna is a fashion accessories", A *woman* wearing a large *bandanna* around her neck is sitting at a table putting poker chips into a plastic bag., a *woman* is *wearing* *fashion* *accessories* while sitting at a table.,A large bandanna is a form of fashion accessories., A woman wearing a *large* *bandanna* around her neck is sitting at a table putting poker chips into a plastic bag., a woman is wearing *fashion* *accessories* while sitting at a table.,The woman is wearing a accessorie that is a bandanna around her neck while sitting at a table., A *woman* *wearing* a large *bandanna* around her *neck* is *sitting* at a *table* putting poker chips into a plastic bag., a *woman* is *wearing* fashion *accessories* while *sitting* at a *table.*,"['woman', 'bandanna']","['woman', 'wearing fashion accessories']",['large bandanna'],['fashion accessories'],"['woman wearing', 'bandanna', 'neck', 'sitting', 'table']","['woman', 'wearing', 'accessories', 'sitting', 'table']",classification
5802,5802,500665418.jpg#1r1e,entailment,An older gentleman in a blue sports jacket and glasses is talking to a woman in an off-white jacket.,The older man is wearing a blue jacket.,A gentleman is a man., An older *gentleman* in a blue sports jacket and glasses is talking to a woman in an off-white jacket., The older *man* is wearing a blue jacket.,"The word ""gentleman"" is a synonym for ""man,"" and a blue sports jacket is a type of jacket.", An older *gentleman* in a *blue* *sports* *jacket* and glasses is talking to a woman in an off-white jacket., The older *man* is wearing a *blue* *jacket.*,An older gentleman is an older man., An *older* *gentleman* in a blue sports jacket and glasses is talking to a woman in an off-white jacket., The *older* *man* is wearing a blue jacket.,['gentleman'],['man'],"['gentleman', 'blue sports jacket']","['man', 'blue jacket']",['older gentleman'],['older man'],classification
5808,5808,4834121945.jpg#3r1e,entailment,Two cars are parked by a body of water by some cranes.,Two cars parked near a body of water and a crane outside.,The two cars are parked outside by the crane and body of water., Two cars are parked by a *body* *of* *water* by some cranes., Two cars parked near a body of water and a *crane* outside.,"The cars are parked near a body of water and there is wildlife present in the form of birds called ""cranes.""", Two *cars* *are* *parked* by a body of *water* by some *cranes.*, Two cars parked near a body of water and *a* *crane* outside.,"Cars, bodies of water, and cranes imply outside.", Two *cars* are *parked* by a *body* *of* *water* by some *cranes.*, Two cars parked near a *body* *of* *water* and a *crane* *outside.*,['body of water'],['crane'],"['cars are parked', 'water', 'cranes']",['a crane'],"['cars', 'parked', 'body of water', 'cranes']","['body of water', 'crane outside']",classification
5814,5814,2303609756.jpg#0r1e,entailment,"A male gymnast from Romania, wearing all red, holding himself vertically while upside-down on rings suspended in the air.",The gymnast wore red.,"Romania has three national colors, one of them is red."," A male gymnast from *Romania,* wearing all *red,* holding himself vertically while upside-down on rings suspended in the air.", The gymnast wore *red.*,Wearing and wore  different form of same word.," A male gymnast from Romania, *wearing* all red, holding himself vertically while upside-down on rings suspended in the air.", The gymnast *wore* red.,The gymnast is a male.," A *male* gymnast from Romania, wearing all red, holding himself vertically while upside-down on rings suspended in the air.", The *gymnast* wore red.,"['Romania', 'red']",['red'],['wearing'],['wore'],['male'],['gymnast'],classification
5900,5900,562242613.jpg#4r1e,entailment,A farmer gives a tour of his farm to local families,people are outside,"Since farms exist outdoors, the people on the tour of the farm must be outside.", A farmer gives a *tour* of his *farm* to local families, *people* are *outside*,"Local families are a type of people, and farm implies outside.", A farmer gives a tour of his *farm* to *local* *families*, *people* are *outside*,A farm is mostly an outdoor location which implies the people are outside., A farmer gives a tour of his *farm* to local families, people are *outside*,"['tour', 'farm']","['people', 'outside']","['farm', 'local families']","['people', 'outside']",['farm'],['outside'],classification
5920,5920,2526989006.jpg#3r1e,entailment,a bride and a groom at their wedding kissing,A newly married couple kiss.,A bride and a groom are a couple.  Couples kiss at their wedding., a *bride* and a *groom* at *their* *wedding* kissing, A newly married *couple* *kiss.*,The bride and groom are two people and therefore a couple. A wedding is a ceremony in which you get married. Kissing is a form of the word kiss., a *bride* *and* a *groom* at their *wedding* *kissing*, A newly *married* *couple* *kiss.*,If they are being referred to as a bride and groom then they are a newly married couple., a *bride* and a *groom* at their wedding kissing, A *newly* *married* *couple* kiss.,"['bride', 'groom', 'their wedding']",['couple kiss'],"['bride and', 'groom', 'wedding kissing']",['married couple kiss'],"['bride', 'groom']",['newly married couple'],classification
5926,5926,3514194772.jpg#4r1e,entailment,A brown dog in running on grass.,A dog is moving around,"If a dog is running, it is moving.", A brown *dog* in *running* on grass., A *dog* is *moving* around,dog in running must be moving, A brown *dog* *in* *running* on grass., A dog is *moving* around,Running is a form of moving around., A brown dog in *running* on grass., A dog is *moving* *around*,"['dog', 'running']","['dog', 'moving']",['dog in running'],['moving'],['running'],['moving around'],classification
5939,5939,4468535383.jpg#3r1e,entailment,"Woman is playing with a young girl, by holding her upside down.",Woman is  holding a child upside down.,A young girl is a child.," Woman is playing with a *young* *girl,* by holding her upside down.", Woman is  holding a *child* upside down.,Young girl is a child," Woman is playing with a *young* *girl,* by holding her upside down.", Woman is  holding a *child* upside down.,A young girl is a type of child; sentence two more broadly rephrases sentence one.," Woman is playing with a *young* *girl,* by holding her upside down.", Woman is  holding a *child* upside down.,['young girl'],['child'],['young girl'],['child'],['young girl'],['child'],classification
5946,5946,2788489062.jpg#0r1e,entailment,Five people are in a swimming pool 3 ft. deep while there is a child on the side with blue shorts on and read floaties getting ready to jump in.,People are at a pool.,"There are people at the swimming pool, one is getting ready to jump in.", Five people are in a *swimming* *pool* 3 ft. deep while there is a child on the side with blue shorts on and read floaties *getting* *ready* *to* *jump* *in.*, People are at a *pool.*,"Five people are people, and swimming pool is a type of pool.", *Five* *people* are in a *swimming* *pool* 3 ft. deep while there is a child on the side with blue shorts on and read floaties getting ready to jump in., *People* are at a *pool.*,Both phrases at a pool and in a pool are correct to say., Five people are *in* *a* swimming *pool* 3 ft. deep while there is a child on the side with blue shorts on and read floaties getting ready to jump in., People are *at* *a* *pool.*,"['swimming pool', 'getting ready to jump in']",['pool'],"['Five people', 'swimming pool']","['People', 'pool']","['in a', 'pool']",['at a pool'],classification
5961,5961,3244632670.jpg#1r1e,entailment,A chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid.,a chef speaks into a microphone near a bowl,About a bowl is similar to near a bowl., A chef speaks into a microphone *about* *a* mixed salad contained in a bowl with a decorative lid., a chef speaks into a microphone *near* *a* bowl,Chef is speaking into a microphone about a bowl he is next to., A chef *speaks* *into* *a* *microphone* about a mixed salad contained in a *bowl* with a decorative lid., a chef *speaks* *into* *a* *microphone* near a bowl,Mixed salad contained in a bowl is a type of bowl., A chef speaks into a microphone about a *mixed* *salad* *contained* *in* *a* *bowl* with a decorative lid., a chef speaks into a microphone near a *bowl*,['about a'],['near a'],"['speaks into a microphone', 'bowl']",['speaks into a microphone'],['mixed salad contained in a bowl'],['bowl'],classification
5963,5963,3244632670.jpg#1r1n,entailment,A chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid.,A chef speaks,"""A chef speaks"" is a shortened form of ""A chef speaks into a microphone...""", A *chef* *speaks* into a microphone about a mixed salad contained in a bowl with a decorative lid., A *chef* *speaks*,"Regardless of the content, the chef is speaking.", A *chef* speaks into a microphone about a mixed salad contained in a bowl with a decorative lid., A chef *speaks*,The chef is speaks into a microphone about a mixed bowled salad in a decorative lid, A *chef* *speaks* into a *microphone* about a *mixed* *salad* contained in a *bowl* with a *decorative* *lid.*, A *chef* *speaks*,['chef speaks'],['chef speaks'],['chef'],['speaks'],"['chef speaks', 'microphone', 'mixed salad', 'bowl', 'decorative lid']",['chef speaks'],classification
5971,5971,6798727809.jpg#3r1e,entailment,A man in a white lab coat is looking through a microscope.,There is a man looking through a scope,"""A man looking through a scope"" is a rephrasing of ""man in a white lab coat is looking through a microscope"" with less detail.", A *man* in a white lab coat is *looking* *through* *a* *microscope.*, There is a *man* *looking* *through* *a* *scope*,"A microscope is a type of scope, so if someone is looking through a microscope they are looking through a scope.", A man in a white lab coat is *looking* *through* a *microscope.*, There is a man *looking* *through* a *scope*,The man looking through a microscope is looking though the scope., A man in a white lab coat is *looking* *through* a *microscope.*, There is a man looking *through* a *scope*,"['man', 'looking through a microscope']",['man looking through a scope'],"['looking through', 'microscope']","['looking through', 'scope']","['looking through', 'microscope']","['through', 'scope']",classification
5977,5977,2623930900.jpg#0r1e,entailment,A man who has a gray beard and gray hair laughs while wearing a purple shirt.,A man is cheerful.,He laughs because he is cheerful., A man who has a gray beard and gray hair *laughs* while wearing a purple shirt., A man is *cheerful.*,"A man who laughs, looks very cheerful for everyone.", A man who has a gray beard and gray hair *laughs* while wearing a purple shirt., A man is *cheerful.*,"Man who has a gray beard is a type of man, and laughs implies cheerful.", A *man* *who* *has* *a* *gray* *beard* and gray hair *laughs* while wearing a purple shirt., A *man* is *cheerful.*,['laughs'],['cheerful'],['laughs'],['cheerful'],"['man who has a gray beard', 'laughs']","['man', 'cheerful']",classification
5982,5982,6034227204.jpg#2r1e,entailment,Man sitting down in a asian custom and styled room.,A man sitting down indoors in a room.,All rooms are indoors., Man sitting down in a asian custom and styled *room.*, A man sitting down *indoors* in a room.,To be in a room implies being indoors., Man sitting down *in* *a* asian custom and styled *room.*, A man sitting down *indoors* in a room.,Sitting in a room indoors is a form of sitting in a room., *Man* *sitting* *down* *in* *a* asian custom and styled *room.*, *A* *man* *sitting* *down* *indoors* *in* *a* *room.*,['room'],['indoors'],"['in a', 'room']",['indoors'],"['Man sitting down in a', 'room']",['A man sitting down indoors in a room'],classification
5999,5999,6085363550.jpg#0r1e,entailment,"Dozens of street performers in fuchsia, red, yellow and black outfits are dancing and singing along a city street.",Many performers in colorful costumes were entertaining in the streets.,Street performers are dancing and singing in costumes in the street.," Dozens of *street* *performers* in fuchsia, red, yellow and black outfits are *dancing* and *singing* along a city street.", Many performers *in* colorful *costumes* were entertaining in the *streets.*,"Fuchsia, red, yellow and black is a descriptive of the colorful costumes."," Dozens of street performers in *fuchsia,* *red,* *yellow* *and* *black* *outfits* are dancing and singing along a city street.", Many performers in *colorful* *costumes* were entertaining in the streets.,Dancing and singing is a form of entertaining. Many can be a rephrasing of dozens.," *Dozens* of street performers in fuchsia, red, yellow and black outfits are *dancing* and *singing* along a city street.", *Many* performers in colorful costumes were *entertaining* in the streets.,"['street performers', 'dancing', 'singing']","['in', 'costumes', 'streets']",['fuchsia red yellow and black outfits'],['colorful costumes'],"['Dozens', 'dancing', 'singing']","['Many', 'entertaining']",classification
6018,6018,4704578554.jpg#3r1e,entailment,An elderly gentleman ransacking a waste container.,An old man looks through a garbage can.,"Elderly gentleman is an old man, and waste container is a garbage can.", An *elderly* *gentleman* ransacking a *waste* *container.*, *An* *old* *man* looks through a *garbage* *can.*,Waste container is a synonym for garbage can., An elderly gentleman ransacking a *waste* *container.*, An old man looks through a *garbage* *can.*,"An elderly gentleman is an old man. Ransacking implies that the man is rummaging through the container in a haphazard way, so he looks through the container. A garbage can is a specific type of waste container.", An *elderly* *gentleman* *ransacking* a *waste* *container.*, An *old* *man* *looks* *through* a *garbage* *can.*,"['elderly gentleman', 'waste container']","['An old man', 'garbage can']",['waste container'],['garbage can'],"['elderly gentleman ransacking', 'waste container']","['old man looks through', 'garbage can']",classification
6032,6032,2667126590.jpg#1r1e,entailment,"A blond woman wearing a blue and pink floral tie-front bikini on a beach, readying to put a flagpole in the sand.",A person in a bikini,A woman is a person.," A blond *woman* wearing a blue and pink floral tie-front bikini on a beach, readying to put a flagpole in the sand.", A *person* in a bikini,"Blond woman is a person, and blue and pink floral tie-front bikini is a type of bikini."," A *blond* *woman* wearing a *blue* *and* *pink* *floral* *tie-front* *bikini* on a beach, readying to put a flagpole in the sand.", A *person* in a *bikini*,A woman is a person.," A blond *woman* wearing a blue and pink floral tie-front bikini on a beach, readying to put a flagpole in the sand.", A *person* in a bikini,['woman'],['person'],"['blond woman', 'blue and pink floral tiefront bikini']","['person', 'bikini']",['woman'],['person'],classification
6055,6055,3707585013.jpg#4r1e,entailment,A singer is performing before a small crowd outside.,A performer has a small audience outdoors.,A singer is a type of performer., A *singer* is performing before a small crowd outside., A *performer* has a small audience outdoors.,"A singer is a performer, and small audience implies small crowd.", A *singer* is performing before a *small* *crowd* outside., A *performer* has a *small* *audience* outdoors.,The audience is a small crowd., A singer is performing before a *small* *crowd* outside., A performer has a *small* *audience* outdoors.,['singer'],['performer'],"['singer', 'small crowd']","['performer', 'small audience']",['small crowd'],['small audience'],classification
